paper_no,first_author,year,original_acupoint,standard_acupoint,system,action,reason
1,Guo J,2008,GV20,GV20,body,keep,표준 체침 경혈 코드
1,Guo J,2008,HT7,HT7,body,keep,표준 체침 경혈 코드
1,Guo J,2008,SP6,SP6,body,keep,표준 체침 경혈 코드
1,Guo J,2008,GV24,GV24,body,keep,표준 체침 경혈 코드
1,Guo J,2008,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
2,Guo JW,2013,GV20,GV20,body,keep,표준 체침 경혈 코드
2,Guo JW,2013,HT7,HT7,body,keep,표준 체침 경혈 코드
2,Guo JW,2013,SP6,SP6,body,keep,표준 체침 경혈 코드
2,Guo JW,2013,GV24,GV24,body,keep,표준 체침 경혈 코드
2,Guo JW,2013,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
3,He FL,2010,GV20,GV20,body,keep,표준 체침 경혈 코드
3,He FL,2010,HT7,HT7,body,keep,표준 체침 경혈 코드
3,He FL,2010,SP6,SP6,body,keep,표준 체침 경혈 코드
3,He FL,2010,BL62,BL62,body,keep,표준 체침 경혈 코드
3,He FL,2010,KI6,KI6,body,keep,표준 체침 경혈 코드
3,He FL,2010,KI9,KI9,body,keep,표준 체침 경혈 코드
3,He FL,2010,PC6,PC6,body,keep,표준 체침 경혈 코드
3,He FL,2010,GB35,GB35,body,keep,표준 체침 경혈 코드
3,He FL,2010,Anmian,ANMIAN,body,map,명명된 체침/기혈 표준화
4,He T,2010,GV20,GV20,body,keep,표준 체침 경혈 코드
4,He T,2010,HT7,HT7,body,keep,표준 체침 경혈 코드
4,He T,2010,SP6,SP6,body,keep,표준 체침 경혈 코드
4,He T,2010,ST36,ST36,body,keep,표준 체침 경혈 코드
4,He T,2010,PC6,PC6,body,keep,표준 체침 경혈 코드
4,He T,2010,GB19,GB19,body,keep,표준 체침 경혈 코드
4,He T,2010,LR3,LR3,body,keep,표준 체침 경혈 코드
4,He T,2010,GV17,GV17,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,GV20,GV20,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,HT7,HT7,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,SP6,SP6,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,PC6,PC6,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,CV4,CV4,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,CV6,CV6,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,CV10,CV10,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,CV12,CV12,body,keep,표준 체침 경혈 코드
5,Lai Y,2011,Sishencong,SISHENCONG,body,map,명명된 체침/기혈 표준화
5,Lai Y,2011,Yintang,YINTANG,body,map,명명된 체침/기혈 표준화
5,Lai Y,2011,Ear points: heart,EAR_HEART,ear,map,이침 경혈 표준화
5,Lai Y,2011,kidney,EAR_KIDNEY,ear,map,이침 경혈 표준화
5,Lai Y,2011,liver,EAR_LIVER,ear,map,이침 경혈 표준화
5,Lai Y,2011,shenmen,EAR_SHENMEN,ear,map,이침 경혈 표준화
5,Lai Y,2011,spleen,EAR_SPLEEN,ear,map,이침 경혈 표준화
5,Lai Y,2011,subcortex,EAR_SUBCORTEX,ear,map,이침 경혈 표준화
5,Lai Y,2011,sympathetic,EAR_SYMPATHETIC,ear,map,이침 경혈 표준화
6,Li PF,2013,GV20,GV20,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV11,GV11,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV14,GV14,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV16,GV16,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV17,GV17,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV18,GV18,body,keep,표준 체침 경혈 코드
6,Li PF,2013,GV24,GV24,body,keep,표준 체침 경혈 코드
7,Li XY,2010,GV20,GV20,body,keep,표준 체침 경혈 코드
7,Li XY,2010,HT7,HT7,body,keep,표준 체침 경혈 코드
7,Li XY,2010,GB20,GB20,body,keep,표준 체침 경혈 코드
7,Li XY,2010,Anmian,ANMIAN,body,map,명명된 체침/기혈 표준화
