sheet,no,first_author,year,treatment,acupoints_raw,acupoints_list,standard_acupoints_list,dropped_acupoints_list
2012_acupuncture_SR,22,Reza,2010,acupressure,"PC6, HT7, KI1, SP6, EX-HN22","[""PC6"", ""HT7"", ""KI1"", ""SP6"", ""EX-HN22""]","[""PC6"", ""HT7"", ""KI1"", ""SP6"", ""EX-HN22""]",[]
2012_acupuncture_SR,23,Sok,2005,acupressure,"(Ear) Zhenjing, Bailing","[""(Ear) Zhenjing"", ""Bailing""]","[""EAR_ZHENJING""]","[""Bailing""]"
2012_acupuncture_SR,24,Suen,2002,acupressure,"(Ear) Shenmen, Heart, Kidney, Liver, Spleen, Occiput, Subcortex","[""(Ear) Shenmen"", ""Heart"", ""Kidney"", ""Liver"", ""Spleen"", ""Occiput"", ""Subcortex""]","[""EAR_SHENMEN"", ""EAR_HEART"", ""EAR_KIDNEY"", ""EAR_LIVER"", ""EAR_SPLEEN"", ""EAR_OCCIPUT"", ""EAR_SUBCORTEX""]",[]
2012_acupuncture_SR,27,Tian,2006,Needle acupuncture,"GV20, EX-HN1, HT7, SP6, EX-HN22","[""GV20"", ""EX-HN1"", ""HT7"", ""SP6"", ""EX-HN22""]","[""GV20"", ""EX-HN1"", ""HT7"", ""SP6"", ""EX-HN22""]",[]
2012_acupuncture_SR,28,Tsay,2003,acupressure,"HT7, KI1, (Ear) Shenmen","[""HT7"", ""KI1"", ""(Ear) Shenmen""]","[""HT7"", ""KI1"", ""EAR_SHENMEN""]",[]
2012_acupuncture_SR,29,Tsay,2004,acupressure/electroacupuncture,"KI1, ST36, GB34, SP6","[""KI1"", ""ST36"", ""GB34"", ""SP6""]","[""KI1"", ""ST36"", ""GB34"", ""SP6""]",[]
2012_acupuncture_SR,30,Ye,2008,Needle acupuncture,"CV12, CV10, CV6, CV4, KI17, ST24, ST31, ST30","[""CV12"", ""CV10"", ""CV6"", ""CV4"", ""KI17"", ""ST24"", ""ST31"", ""ST30""]","[""CV12"", ""CV10"", ""CV6"", ""CV4"", ""KI17"", ""ST24"", ""ST31"", ""ST30""]",[]
2012_acupuncture_SR,32,Zhao,2010,Needle acupuncture,"KI6, BL62","[""KI6"", ""BL62""]","[""KI6"", ""BL62""]",[]
2012_acupuncture_SR,33,Zhu,2005,electroacupuncture,"BL23, PC6, HT7, ST36, SP6","[""BL23"", ""PC6"", ""HT7"", ""ST36"", ""SP6""]","[""BL23"", ""PC6"", ""HT7"", ""ST36"", ""SP6""]",[]
2016_acupuncture_SR,1,Guo J,2008,Acupuncture,"GV20, HT7, SP6, GV24, Sishencong","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""Sishencong""]","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""SISHENCONG""]",[]
2016_acupuncture_SR,2,Guo JW,2013,Acupuncture,"GV20, HT7, SP6, GV24, Sishencong","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""Sishencong""]","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""SISHENCONG""]",[]
2016_acupuncture_SR,3,He FL,2010,Acupuncture,"GV20, HT7, SP6, BL62, KI6, KI9, PC6, GB35, Anmian","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""KI9"", ""PC6"", ""GB35"", ""Anmian""]","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""KI9"", ""PC6"", ""GB35"", ""ANMIAN""]",[]
2016_acupuncture_SR,4,He T,2010,Acupuncture,"GV20, HT7, SP6, ST36, PC6, GB19, LR3, GV17","[""GV20"", ""HT7"", ""SP6"", ""ST36"", ""PC6"", ""GB19"", ""LR3"", ""GV17""]","[""GV20"", ""HT7"", ""SP6"", ""ST36"", ""PC6"", ""GB19"", ""LR3"", ""GV17""]",[]
2016_acupuncture_SR,5,Lai Y,2011,Acupuncture + ear acupressure,"GV20, HT7, SP6, PC6, CV4, CV6, CV10,CV12, Sishencong, Yintang;
Ear points: heart, kidney, liver, shenmen, spleen, subcortex, sympathetic","[""GV20"", ""HT7"", ""SP6"", ""PC6"", ""CV4"", ""CV6"", ""CV10"", ""CV12"", ""Sishencong"", ""Yintang"", ""Ear points: heart"", ""kidney"", ""liver"", ""shenmen"", ""spleen"", ""subcortex"", ""sympathetic""]","[""GV20"", ""HT7"", ""SP6"", ""PC6"", ""CV4"", ""CV6"", ""CV10"", ""CV12"", ""SISHENCONG"", ""YINTANG"", ""EAR_HEART"", ""EAR_KIDNEY"", ""EAR_LIVER"", ""EAR_SHENMEN"", ""EAR_SPLEEN"", ""EAR_SUBCORTEX"", ""EAR_SYMPATHETIC""]",[]
2016_acupuncture_SR,6,Li PF,2013,Acupuncture,"GV20, GV11, GV14, GV16, GV17, GV18, GV24","[""GV20"", ""GV11"", ""GV14"", ""GV16"", ""GV17"", ""GV18"", ""GV24""]","[""GV20"", ""GV11"", ""GV14"", ""GV16"", ""GV17"", ""GV18"", ""GV24""]",[]
2016_acupuncture_SR,7,Li XY,2010,Acupuncture,"GV20, HT7, GB20, Anmian, Sishencong","[""GV20"", ""HT7"", ""GB20"", ""Anmian"", ""Sishencong""]","[""GV20"", ""HT7"", ""GB20"", ""ANMIAN"", ""SISHENCONG""]",[]
2016_acupuncture_SR,8,Liu JY,2013,Electroacupuncture,"SP6, ST36, Sishencong, Taiyang","[""SP6"", ""ST36"", ""Sishencong"", ""Taiyang""]","[""SP6"", ""ST36"", ""SISHENCONG"", ""TAIYANG""]",[]
2016_acupuncture_SR,9,Lu YY,2008,Acupuncture,"GV20, HT7, BL23, KI3, PC6, GV11, GV16, GV24","[""GV20"", ""HT7"", ""BL23"", ""KI3"", ""PC6"", ""GV11"", ""GV16"", ""GV24""]","[""GV20"", ""HT7"", ""BL23"", ""KI3"", ""PC6"", ""GV11"", ""GV16"", ""GV24""]",[]
2016_acupuncture_SR,10,Luo WZ,2006,Acupuncture,"GV20, HT7, LI4, LR3. Yintang","[""GV20"", ""HT7"", ""LI4"", ""LR3. Yintang""]","[""GV20"", ""HT7"", ""LI4"", ""LR3"", ""YINTANG""]",[]
2016_acupuncture_SR,11,Song Q,2007,Acupuncture,"GV20, Sishencong","[""GV20"", ""Sishencong""]","[""GV20"", ""SISHENCONG""]",[]
2016_acupuncture_SR,12,Su D,2011,Acupuncture,"HT7, SP6, ST36, HT5, BL15, BL20 or BL15, BL19, PC7 or KI1, KI3, LR3","[""HT7"", ""SP6"", ""ST36"", ""HT5"", ""BL15"", ""BL20 or BL15"", ""BL19"", ""PC7 or KI1"", ""KI3"", ""LR3""]","[""HT7"", ""SP6"", ""ST36"", ""HT5"", ""BL15"", ""BL19"", ""KI3"", ""LR3""]","[""BL20 or BL15"", ""PC7 or KI1""]"
2016_acupuncture_SR,13,Su J,2014,Acupuncture,"HT7, SP6, ST36, BL23, BL60, BL62, KI3, KI6, PC6, Sishencong","[""HT7"", ""SP6"", ""ST36"", ""BL23"", ""BL60"", ""BL62"", ""KI3"", ""KI6"", ""PC6"", ""Sishencong""]","[""HT7"", ""SP6"", ""ST36"", ""BL23"", ""BL60"", ""BL62"", ""KI3"", ""KI6"", ""PC6"", ""SISHENCONG""]",[]
2016_acupuncture_SR,14,Sun ZY,2010,Acupuncture,"SP6, KI1, KI3","[""SP6"", ""KI1"", ""KI3""]","[""SP6"", ""KI1"", ""KI3""]",[]
2016_acupuncture_SR,15,Tan Y,2012,Acupuncture,"HT7, SP6, Anmian","[""HT7"", ""SP6"", ""Anmian""]","[""HT7"", ""SP6"", ""ANMIAN""]",[]
2016_acupuncture_SR,16,Tao HX,2009,Acupuncture,"SP6, PC6, Sishencong, Taiyang, Yintang","[""SP6"", ""PC6"", ""Sishencong"", ""Taiyang"", ""Yintang""]","[""SP6"", ""PC6"", ""SISHENCONG"", ""TAIYANG"", ""YINTANG""]",[]
2016_acupuncture_SR,17,Tu JH,2012,Acupuncture,"HT7, ST36","[""HT7"", ""ST36""]","[""HT7"", ""ST36""]",[]
2016_acupuncture_SR,18,Wang LL,2012,Acupuncture,"GV20, HT7, SP6, ST25, ST36, BL15,BL18, BL19, BL20, BL21, BL23, BL24, BL26, BL40, BL57, PC6, LR3, GV4, GV14, GV24, CV4, CV6, CV12, Anmian","[""GV20"", ""HT7"", ""SP6"", ""ST25"", ""ST36"", ""BL15"", ""BL18"", ""BL19"", ""BL20"", ""BL21"", ""BL23"", ""BL24"", ""BL26"", ""BL40"", ""BL57"", ""PC6"", ""LR3"", ""GV4"", ""GV14"", ""GV24"", ""CV4"", ""CV6"", ""CV12"", ""Anmian""]","[""GV20"", ""HT7"", ""SP6"", ""ST25"", ""ST36"", ""BL15"", ""BL18"", ""BL19"", ""BL20"", ""BL21"", ""BL23"", ""BL24"", ""BL26"", ""BL40"", ""BL57"", ""PC6"", ""LR3"", ""GV4"", ""GV14"", ""GV24"", ""CV4"", ""CV6"", ""CV12"", ""ANMIAN""]",[]
2016_acupuncture_SR,19,Xia XF,2012,Acupuncture,"GV20, BL15, BL23, GV4, GV9, GV10, GV11, GV14, GV16, GV17, GV24, GV26, CV6, CV12, CV14, CV15, CV17, CV24, Yintang","[""GV20"", ""BL15"", ""BL23"", ""GV4"", ""GV9"", ""GV10"", ""GV11"", ""GV14"", ""GV16"", ""GV17"", ""GV24"", ""GV26"", ""CV6"", ""CV12"", ""CV14"", ""CV15"", ""CV17"", ""CV24"", ""Yintang""]","[""GV20"", ""BL15"", ""BL23"", ""GV4"", ""GV9"", ""GV10"", ""GV11"", ""GV14"", ""GV16"", ""GV17"", ""GV24"", ""GV26"", ""CV6"", ""CV12"", ""CV14"", ""CV15"", ""CV17"", ""CV24"", ""YINTANG""]",[]
2016_acupuncture_SR,20,Xiong JW,2011,Acupuncture,"GV20, HT7, SP6, LI10, ST36, BL2, PC6,TE17","[""GV20"", ""HT7"", ""SP6"", ""LI10"", ""ST36"", ""BL2"", ""PC6"", ""TE17""]","[""GV20"", ""HT7"", ""SP6"", ""LI10"", ""ST36"", ""BL2"", ""PC6"", ""TE17""]",[]
2016_acupuncture_SR,21,Xuan YB,2007,Acupuncture,"GV20, HT7, SP6, GV24, Sishencong","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""Sishencong""]","[""GV20"", ""HT7"", ""SP6"", ""GV24"", ""SISHENCONG""]",[]
2016_acupuncture_SR,22,Yao W,2014,Electroacupuncture,"GV20, HT7, SP6, BL62, KI6, PC6, LR3, Anmian, Sishencong, Taiyang, Yintang","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""PC6"", ""LR3"", ""Anmian"", ""Sishencong"", ""Taiyang"", ""Yintang""]","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""PC6"", ""LR3"", ""ANMIAN"", ""SISHENCONG"", ""TAIYANG"", ""YINTANG""]",[]
2016_acupuncture_SR,23,Yeung WF,2009,Electroacupuncture,"GV20, Anmian, Sishencong, Yintang;
Ear points: shenmen","[""GV20"", ""Anmian"", ""Sishencong"", ""Yintang"", ""Ear points: shenmen""]","[""GV20"", ""ANMIAN"", ""SISHENCONG"", ""YINTANG"", ""EAR_SHENMEN""]",[]
2016_acupuncture_SR,24,You L,2010,Acupuncture + ear acupressure + warm needle,"GV20, HT7, SP6, LI10, ST36, BL2, PC6, TE17;
Ear points: heart, kidney, shenmen, spleen, sympathetic","[""GV20"", ""HT7"", ""SP6"", ""LI10"", ""ST36"", ""BL2"", ""PC6"", ""TE17"", ""Ear points: heart"", ""kidney"", ""shenmen"", ""spleen"", ""sympathetic""]","[""GV20"", ""HT7"", ""SP6"", ""LI10"", ""ST36"", ""BL2"", ""PC6"", ""TE17"", ""EAR_HEART"", ""EAR_KIDNEY"", ""EAR_SHENMEN"", ""EAR_SPLEEN"", ""EAR_SYMPATHETIC""]",[]
2016_acupuncture_SR,25,Yu DS,2012,Acupuncture + moxa,"HT7, BL15, BL23, KI1, KI3, PC6; moxa:KI1","[""HT7"", ""BL15"", ""BL23"", ""KI1"", ""KI3"", ""PC6"", ""moxa:KI1""]","[""HT7"", ""BL15"", ""BL23"", ""KI1"", ""KI3"", ""PC6""]",[]
2016_acupuncture_SR,26,Yu F,2010,Acupuncture + ear acupressure,"GV20, HT7, SP6, BL62, KI6, PC6, Anmian, Sishencong, Yintang;
Ear points: heart, kidney, liver, shenmen, spleen, subcortex, sympathetic","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""PC6"", ""Anmian"", ""Sishencong"", ""Yintang"", ""Ear points: heart"", ""kidney"", ""liver"", ""shenmen"", ""spleen"", ""subcortex"", ""sympathetic""]","[""GV20"", ""HT7"", ""SP6"", ""BL62"", ""KI6"", ""PC6"", ""ANMIAN"", ""SISHENCONG"", ""YINTANG"", ""EAR_HEART"", ""EAR_KIDNEY"", ""EAR_LIVER"", ""EAR_SHENMEN"", ""EAR_SPLEEN"", ""EAR_SUBCORTEX"", ""EAR_SYMPATHETIC""]",[]
2016_acupuncture_SR,27,Zhang HY,2013,Acupuncture,"GV20, HT7, PC6, Sishencong","[""GV20"", ""HT7"", ""PC6"", ""Sishencong""]","[""GV20"", ""HT7"", ""PC6"", ""SISHENCONG""]",[]
2016_acupuncture_SR,28,Zhu MM,2012,Acupuncture + ear acupressure,"GV20, HT7, CV4, CV6, CV10, CV12,Yintang;
Ear points: shenmen, sympathetic, occiput, brain,hypothysis","[""GV20"", ""HT7"", ""CV4"", ""CV6"", ""CV10"", ""CV12"", ""Yintang"", ""Ear points: shenmen"", ""sympathetic"", ""occiput"", ""brain"", ""hypothysis""]","[""GV20"", ""HT7"", ""CV4"", ""CV6"", ""CV10"", ""CV12"", ""YINTANG"", ""EAR_SHENMEN"", ""EAR_SYMPATHETIC"", ""EAR_OCCIPUT"", ""EAR_BRAIN"", ""EAR_HYPOPHYSIS""]",[]
2016_acupuncture_SR,29,Wang YY,2015,Acupuncture,"GV20, HT7, SP6, PC6, BL13, BL15, BL18,BL20, BL23, BL24, BL26, BL62, Yintang,ST25, KI6","[""GV20"", ""HT7"", ""SP6"", ""PC6"", ""BL13"", ""BL15"", ""BL18"", ""BL20"", ""BL23"", ""BL24"", ""BL26"", ""BL62"", ""Yintang"", ""ST25"", ""KI6""]","[""GV20"", ""HT7"", ""SP6"", ""PC6"", ""BL13"", ""BL15"", ""BL18"", ""BL20"", ""BL23"", ""BL24"", ""BL26"", ""BL62"", ""YINTANG"", ""ST25"", ""KI6""]",[]
2020_acupuncture_SR,1,Chung,2015,Electroacupuncture/ Minimal Acupuncture/ invasive (Streitberger needle),"EX-HN3, GV20, Ear Shenmen(bilateral), EX-HN1(EX-HN2은 논문 오타인듯), PC6, SP6, EX-HN22","[""EX-HN3"", ""GV20"", ""Ear Shenmen(bilateral)"", ""EX-HN1(EX-HN2은 논문 오타인듯)"", ""PC6"", ""SP6"", ""EX-HN22""]","[""EX-HN3"", ""GV20"", ""EAR_SHENMEN"", ""EX-HN1"", ""PC6"", ""SP6"", ""EX-HN22""]",[]
2020_acupuncture_SR,2,Chung,2018,Electroacupuncture/ waitlist,"EX-HN1, EX-HN22, PC6, HT7, SP6, Ear Shenmen, EX-HN3(unilaterally), GV20","[""EX-HN1"", ""EX-HN22"", ""PC6"", ""HT7"", ""SP6"", ""Ear Shenmen"", ""EX-HN3(unilaterally)"", ""GV20""]","[""EX-HN1"", ""EX-HN22"", ""PC6"", ""HT7"", ""SP6"", ""EAR_SHENMEN"", ""EX-HN3"", ""GV20""]",[]
2020_acupuncture_SR,3,Dong,2018,Acupuncture/nontherapeutic appoint,"EX-HN3, GV20, DU14","[""EX-HN3"", ""GV20"", ""DU14""]","[""EX-HN3"", ""GV20"", ""GV14""]",[]
2020_acupuncture_SR,4,Fu,2017,Acupuncture/ invasive (Streitberger needle),"BL23(bilateral), BL18(bilateral), LR14(unilateral), GB25(unilateral)","[""BL23(bilateral)"", ""BL18(bilateral)"", ""LR14(unilateral)"", ""GB25(unilateral)""]","[""BL23"", ""BL18"", ""LR14"", ""GB25""]",[]
2020_acupuncture_SR,5,Guo,2017,Acupuncture/nontherapeutic appoint,"GV20, DU24, EX-HN1, BG13, HT7, PC6, SP6","[""GV20"", ""DU24"", ""EX-HN1"", ""BG13"", ""HT7"", ""PC6"", ""SP6""]","[""GV20"", ""GV24"", ""EX-HN1"", ""BG13"", ""HT7"", ""PC6"", ""SP6""]",[]
2020_acupuncture_SR,6,Lo,2013,Magnetic Pearls Attachment/non- penetrating stimulation,"(Ear) Shenmen, Heart, Kidney, Spleen, Liver, Subcortex, Occiput","[""(Ear) Shenmen"", ""Heart"", ""Kidney"", ""Spleen"", ""Liver"", ""Subcortex"", ""Occiput""]","[""EAR_SHENMEN"", ""EAR_HEART"", ""EAR_KIDNEY"", ""EAR_SPLEEN"", ""EAR_LIVER"", ""EAR_SUBCORTEX"", ""EAR_OCCIPUT""]",[]
2020_acupuncture_SR,7,Luo,2017,Acupuncture/nontherapeutic appoint,"GV20(bilateral), EX-HN3, LI4, LR3, HT7, SP6, EX-HN22, BL18, BL15","[""GV20(bilateral)"", ""EX-HN3"", ""LI4"", ""LR3"", ""HT7"", ""SP6"", ""EX-HN22"", ""BL18"", ""BL15""]","[""GV20"", ""EX-HN3"", ""LI4"", ""LR3"", ""HT7"", ""SP6"", ""EX-HN22"", ""BL18"", ""BL15""]",[]
2020_acupuncture_SR,8,Yeung,2009,Electroacupuncture/ invasive (Streitberger needle),"EX-HN3, GV20,  Ear Shenmen(bilateral), EX-HN1, EX-HN22","[""EX-HN3"", ""GV20"", ""Ear Shenmen(bilateral)"", ""EX-HN1"", ""EX-HN22""]","[""EX-HN3"", ""GV20"", ""EAR_SHENMEN"", ""EX-HN1"", ""EX-HN22""]",[]
2020_acupuncture_SR,9,Yeung,2011,Electroacupuncture/ Minimal Acupuncture/ invasive (Streitberger needle),"EX-HN3, GV20,  Ear Shenmen(bilateral), EX-HN1, EX-HN22","[""EX-HN3"", ""GV20"", ""Ear Shenmen(bilateral)"", ""EX-HN1"", ""EX-HN22""]","[""EX-HN3"", ""GV20"", ""EAR_SHENMEN"", ""EX-HN1"", ""EX-HN22""]",[]
2020_acupuncture_SR,10,Yin,2017,Electroacupuncture/ invasive,"GV20, GV24, GV29, EX-HN22(bilateral), HT7(bilateral), SP6","[""GV20"", ""GV24"", ""GV29"", ""EX-HN22(bilateral)"", ""HT7(bilateral)"", ""SP6""]","[""GV20"", ""GV24"", ""GV29"", ""EX-HN22"", ""HT7"", ""SP6""]",[]
2020_acupuncture_SR,11,Zhang,2019,Acupuncture/nontherapeutic appoint,"RN13, RN12, RN10, RN6, ST36(bilateral), ST25(bilateral), PC6(bilateral)","[""RN13"", ""RN12"", ""RN10"", ""RN6"", ""ST36(bilateral)"", ""ST25(bilateral)"", ""PC6(bilateral)""]","[""CV13"", ""CV12"", ""CV10"", ""CV6"", ""ST36"", ""ST25"", ""PC6""]",[]
2020_acupuncture_SR,12,Zhang,2020,Active acupuncture/ invasive (Park Sham Acupuncture),"EX-HN22(bilateral), PC6(bilateral), HT7(bilateral), LI4(bilateral), ST36(bilateral), KI6(bilateral), BL62(bilateral), LR3(bilateral)","[""EX-HN22(bilateral)"", ""PC6(bilateral)"", ""HT7(bilateral)"", ""LI4(bilateral)"", ""ST36(bilateral)"", ""KI6(bilateral)"", ""BL62(bilateral)"", ""LR3(bilateral)""]","[""EX-HN22"", ""PC6"", ""HT7"", ""LI4"", ""ST36"", ""KI6"", ""BL62"", ""LR3""]",[]
2020_acupuncture_SR,15,Zou,2015,Auricular acupressure/nontherapeutic appoint,"(Ear) Shenmen(TF4), Sympathetic autonomic(AH6a), Subcortex(AT4), Heart(CO15), Endocrine(CO18)","[""(Ear) Shenmen(TF4)"", ""Sympathetic autonomic(AH6a)"", ""Subcortex(AT4)"", ""Heart(CO15)"", ""Endocrine(CO18)""]","[""EAR_SHENMEN"", ""EAR_SYMPATHETIC"", ""EAR_SUBCORTEX"", ""EAR_HEART"", ""EAR_ENDOCRINE""]",[]
